2026-03-03 09:47:40,631 | INFO | loader | 📂 Dossier scanné (récursif) : data
2026-03-03 09:47:40,632 | INFO | loader | ⏭️ Déjà traité (hash) : (20221121) - 887555076 - ATTESTATION DE REMUNERATION 2022.pdf
2026-03-03 09:47:40,633 | INFO | loader | ⏭️ Déjà traité (hash) : acte de naissance 2.pdf
2026-03-03 09:47:40,636 | INFO | loader | ⏭️ Déjà traité (hash) : Détails des Notes Gaya KDYEM.pdf
2026-03-03 09:47:40,636 | INFO | loader | ⏭️ Déjà traité (hash) : index.html
2026-03-03 09:47:40,638 | INFO | loader | ⏭️ Déjà traité (hash) : (20221121) - 887555076 - GRAND LIVRE MICRO 2022.pdf
2026-03-03 09:47:40,639 | INFO | loader | ⏭️ Déjà traité (hash) : Attestation_d'hebergement.pdf
2026-03-03 09:47:40,640 | INFO | loader | ⏭️ Déjà traité (hash) : AVIS_APRÈS_FORMATION_B1_V__B2_V__BC_BR_-_KDYEM_Gaya.pdf
2026-03-03 09:47:40,641 | INFO | loader | ⏭️ Déjà traité (hash) : KDYEM GAYA - NEOSPACE - Campus.pdf
2026-03-03 09:47:40,642 | INFO | loader | ⏭️ Déjà traité (hash) : Echéancier.pdf
2026-03-03 09:47:40,642 | INFO | loader | ⏭️ Déjà traité (hash) : CVPROV-AUTO-A568855-02-20230313-150337.PDF
2026-03-03 09:47:40,644 | INFO | loader | ⏭️ Déjà traité (hash) : LP OCI Diploma.pdf
2026-03-03 09:47:40,646 | INFO | loader | ⏭️ Déjà traité (hash) : TCF Gaya KDYEM.pdf
2026-03-03 09:47:40,649 | INFO | loader | ⏭️ Déjà traité (hash) : BAC.pdf
2026-03-03 09:47:40,650 | INFO | loader | ⏭️ Déjà traité (hash) : Attestation d’assurance pour la nouvelle période de garantie.pdf
2026-03-03 09:47:40,651 | INFO | loader | ⏭️ Déjà traité (hash) : KBIS.pdf
2026-03-03 09:47:40,654 | INFO | loader | ⏭️ Déjà traité (hash) : Kbis KDYEM.pdf
2026-03-03 09:47:40,657 | INFO | loader | ⏭️ Déjà traité (hash) : RNBac.pdf
2026-03-03 09:47:40,659 | INFO | loader | ⏭️ Déjà traité (hash) : BTS.pdf
2026-03-03 09:47:40,661 | INFO | loader | ⏭️ Déjà traité (hash) : KDYEM GAYA (1).pdf
2026-03-03 09:47:40,663 | INFO | loader | ⏭️ Déjà traité (hash) : CVFACS-AUTO-A568855-02-20230313-150255.PDF
2026-03-03 09:47:40,663 | INFO | loader | 📊 Total documents chargés : 0
