2026-03-03 09:33:20,374 | INFO | loader | 📂 Dossier scanné (récursif) : data
2026-03-03 09:33:21,059 | INFO | loader | ✅ Chargé : (20221121) - 887555076 - ATTESTATION DE REMUNERATION 2022.pdf (1 pages/sections)
2026-03-03 09:33:21,061 | INFO | loader | ✅ Chargé : acte de naissance 2.pdf (1 pages/sections)
2026-03-03 09:33:21,087 | INFO | loader | ✅ Chargé : Détails des Notes Gaya KDYEM.pdf (7 pages/sections)
2026-03-03 09:33:22,307 | INFO | unstructured.nlp.tokenize | Downloading spaCy model en_core_web_sm 3.8.0 …
2026-03-03 09:33:29,932 | INFO | unstructured.nlp.tokenize | Installed en_core_web_sm 3.8.0
2026-03-03 09:33:30,799 | INFO | loader | ✅ Chargé : index.html (1 pages/sections)
2026-03-03 09:33:30,885 | INFO | loader | ✅ Chargé : (20221121) - 887555076 - GRAND LIVRE MICRO 2022.pdf (12 pages/sections)
2026-03-03 09:33:30,890 | INFO | loader | ✅ Chargé : Attestation_d'hebergement.pdf (1 pages/sections)
2026-03-03 09:33:30,951 | INFO | loader | ✅ Chargé : AVIS_APRÈS_FORMATION_B1_V__B2_V__BC_BR_-_KDYEM_Gaya.pdf (1 pages/sections)
2026-03-03 09:33:31,245 | INFO | loader | ✅ Chargé : KDYEM GAYA - NEOSPACE - Campus.pdf (18 pages/sections)
2026-03-03 09:33:31,324 | INFO | loader | ✅ Chargé : Echéancier.pdf (1 pages/sections)
2026-03-03 09:33:31,339 | INFO | loader | ✅ Chargé : CVPROV-AUTO-A568855-02-20230313-150337.PDF (1 pages/sections)
2026-03-03 09:33:31,341 | INFO | loader | ✅ Chargé : LP OCI Diploma.pdf (1 pages/sections)
2026-03-03 09:33:31,342 | INFO | loader | ✅ Chargé : TCF Gaya KDYEM.pdf (1 pages/sections)
2026-03-03 09:33:31,344 | INFO | loader | ✅ Chargé : BAC.pdf (1 pages/sections)
2026-03-03 09:33:31,367 | INFO | loader | ✅ Chargé : Attestation d’assurance pour la nouvelle période de garantie.pdf (2 pages/sections)
2026-03-03 09:33:31,367 | WARNING | pypdf._reader | incorrect startxref pointer(1)
2026-03-03 09:33:31,367 | WARNING | pypdf._reader | parsing for Object Streams
2026-03-03 09:33:31,373 | INFO | loader | ✅ Chargé : KBIS.pdf (1 pages/sections)
2026-03-03 09:33:31,374 | WARNING | pypdf._reader | incorrect startxref pointer(1)
2026-03-03 09:33:31,375 | WARNING | pypdf._reader | parsing for Object Streams
2026-03-03 09:33:31,382 | INFO | loader | ✅ Chargé : Kbis KDYEM.pdf (1 pages/sections)
2026-03-03 09:33:31,383 | INFO | loader | ✅ Chargé : RNBac.pdf (1 pages/sections)
2026-03-03 09:33:31,385 | INFO | loader | ✅ Chargé : BTS.pdf (1 pages/sections)
2026-03-03 09:33:31,832 | INFO | loader | ✅ Chargé : KDYEM GAYA (1).pdf (22 pages/sections)
2026-03-03 09:33:31,849 | INFO | loader | ✅ Chargé : CVFACS-AUTO-A568855-02-20230313-150255.PDF (1 pages/sections)
2026-03-03 09:33:31,849 | INFO | loader | 📊 Total documents chargés : 76
