2026-03-03 09:47:17,039 | INFO | loader | 📂 Dossier scanné (récursif) : data
2026-03-03 09:47:17,101 | INFO | loader | ✅ Chargé : (20221121) - 887555076 - ATTESTATION DE REMUNERATION 2022.pdf (1 pages/sections)
2026-03-03 09:47:17,103 | INFO | loader | ✅ Chargé : acte de naissance 2.pdf (1 pages/sections)
2026-03-03 09:47:17,128 | INFO | loader | ✅ Chargé : Détails des Notes Gaya KDYEM.pdf (7 pages/sections)
2026-03-03 09:47:18,782 | INFO | loader | ✅ Chargé : index.html (1 pages/sections)
2026-03-03 09:47:18,868 | INFO | loader | ✅ Chargé : (20221121) - 887555076 - GRAND LIVRE MICRO 2022.pdf (12 pages/sections)
2026-03-03 09:47:18,874 | INFO | loader | ✅ Chargé : Attestation_d'hebergement.pdf (1 pages/sections)
2026-03-03 09:47:18,933 | INFO | loader | ✅ Chargé : AVIS_APRÈS_FORMATION_B1_V__B2_V__BC_BR_-_KDYEM_Gaya.pdf (1 pages/sections)
2026-03-03 09:47:19,229 | INFO | loader | ✅ Chargé : KDYEM GAYA - NEOSPACE - Campus.pdf (18 pages/sections)
2026-03-03 09:47:19,260 | INFO | loader | ✅ Chargé : Echéancier.pdf (1 pages/sections)
2026-03-03 09:47:19,274 | INFO | loader | ✅ Chargé : CVPROV-AUTO-A568855-02-20230313-150337.PDF (1 pages/sections)
2026-03-03 09:47:19,277 | INFO | loader | ✅ Chargé : LP OCI Diploma.pdf (1 pages/sections)
2026-03-03 09:47:19,279 | INFO | loader | ✅ Chargé : TCF Gaya KDYEM.pdf (1 pages/sections)
2026-03-03 09:47:19,283 | INFO | loader | ✅ Chargé : BAC.pdf (1 pages/sections)
2026-03-03 09:47:19,305 | INFO | loader | ✅ Chargé : Attestation d’assurance pour la nouvelle période de garantie.pdf (2 pages/sections)
2026-03-03 09:47:19,306 | WARNING | pypdf._reader | incorrect startxref pointer(1)
2026-03-03 09:47:19,306 | WARNING | pypdf._reader | parsing for Object Streams
2026-03-03 09:47:19,315 | INFO | loader | ✅ Chargé : KBIS.pdf (1 pages/sections)
2026-03-03 09:47:19,318 | WARNING | pypdf._reader | incorrect startxref pointer(1)
2026-03-03 09:47:19,318 | WARNING | pypdf._reader | parsing for Object Streams
2026-03-03 09:47:19,325 | INFO | loader | ✅ Chargé : Kbis KDYEM.pdf (1 pages/sections)
2026-03-03 09:47:19,328 | INFO | loader | ✅ Chargé : RNBac.pdf (1 pages/sections)
2026-03-03 09:47:19,330 | INFO | loader | ✅ Chargé : BTS.pdf (1 pages/sections)
2026-03-03 09:47:19,821 | INFO | loader | ✅ Chargé : KDYEM GAYA (1).pdf (22 pages/sections)
2026-03-03 09:47:19,837 | INFO | loader | ✅ Chargé : CVFACS-AUTO-A568855-02-20230313-150255.PDF (1 pages/sections)
2026-03-03 09:47:19,837 | INFO | loader | 📊 Total documents chargés : 76
